S.No.,ISBN,Title,Author,Language,Price,Pages,AgeGrp,Cover_URL,Image_Path
130,9788123722702,Inventions that Changed the Would - I,Mir Najabat Ali,H/E,50,64p,12+,http://books.google.com/books/content?id=nVGgOQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_129.png
131,9788123720449,Inventions that Changed the Would - II,Mir Najabat Ali,H/E,40,64p,12+,http://books.google.com/books/content?id=YnpmDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_130.png
132,9789354918662,Ison's Journey,Idris Siddiqui,H/E,40,16p,8+,http://books.google.com/books/content?id=d5_zBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_131.png
133,9788123709012,Jallianwala Bagh,Bhisham Sahni,H/E,40,56p,12+,http://books.google.com/books/content?id=D0SCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_132.png
134,9788123701608,Jawaharlal Nehru,Tara Ali Baig,H/E,70,64p,10+,http://books.google.com/books/content?id=0us3TambWogC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_133.png
135,9788123767185,Jiro Mithe: A Tale From Great Andaman,Anvita Abbi,H/E,45,16p,10+,,image_134.png
136,9788123756288,Joy in the Jungle,Santanoo Tamuly,H/E,65,24p,6+,http://books.google.com/books/content?id=tRjem_5mebYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_135.png
137,9788123781693,Jujurna: The King of Birds,Anita Chauhan,H/E,120,36p,10+,,image_136.png
138,9788123772189,Kavya Makes Up Her Mind,Ramesh Bijlani,H/E,80,32p,10+,,image_137.png
139,9788123777221,Khoka,Moupia Basu,H/E,105,156p,12+,,image_138.png
140,9788123792729,Lakhan's Story,Amrita Dasgupta,H/E,45,16p,8+,http://books.google.com/books/content?id=KzX0t3cqY7UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_139.png
141,9788123755533,Lachu,Leela J Lopez,H/E,145,84p,12+,,image_140.png
142,9788123708591,Lalu and the Red Kite,Ashish Sengupta,H/E,40,16p,6+,,image_141.png
143,9788123791401,Legend of the Goden Valley,Manoj Das,H/E,90,92p,12+,http://books.google.com/books/content?id=qM7TmZBmyzIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_142.png
144,9788123729916,Let's Do a Play,Uma Anand,H/E,50,64p,12+,http://books.google.com/books/content?id=PWjAPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_143.png
145,9788123739830,Lines and Colours: Discovering Indian Art,Ella Datta,H/E,115,84p,12+,,image_144.png
146,9788123770079,Little Chopin,Michal Rusinek,H/E,235,36p,10+,,image_145.png
147,9788123770451,Little Elephant Throws a Party,Meenakshi,H/E,55,20p,6+,http://books.google.com/books/content?id=jaPGoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_146.png
148,9788123701745,Little Old Women,Margarat Bhatty,H/E,60,32p,8+,,image_147.png
149,9788123760230,Little Sunshine,Jaswant Singh Birdi,H/E,50,16p,8+,http://books.google.com/books/content?id=jSyCRs4GiLQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_148.png
150,9788123768854,Little Wonders,Laxmi Khanna,H/E,95,147p,12+,http://books.google.com/books/content?id=XbSdDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_149.png
